S/N,E-waste Collection Points,Collection Type,Location,Postal Code,Remarks,Website,
105,"NGEE ANN POLYTECHNIC, BLK 22",1. Permanent E-bin,"535 CLEMENTI ROAD, NGEE ANN POLYCLINIC, BLK 22, FOODCOURT",599489,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
106,NOVENA SQUARE,1. Permanent E-bin,"238 THOMSON ROAD, NOVENA SQUARE, LEVEL 3",307683,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
107,NUH,1. Permanent E-bin,"1E KENT RIDGE ROAD, LEVEL 1",119228,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
108,OASIS TERRACES,1. Permanent E-bin,"681 PUNGGOL DRIVE, OASIS TERRACES, LVL 1 OPPOSITE ANYTIME FITNESS",820681,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
109,ONE RAFFLES QUAY,1. Permanent E-bin,"1 RAFFLES QUAY, #B2, ESCALATOR WALKWAY",48583,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
110,OUR TAMPINES HUB,1. Permanent E-bin,"1 TAMPINES WALK, CENTRAL PLAZA (LIBRARY EXIT)",528523,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
111,PASIR RIS WEST PLAZA,1. Permanent E-bin,"735 PASIR RIS STREET 72, PASIR RIS WEST PLAZA, MAIN ENTRANCE",510735,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
112,PASSION WAVE @ JURONG LAKE GARDENS,1. Permanent E-bin,"100 YUAN CHING RD, RECEPTION",618662,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
113,PASSION WAVE @ MARINA BAY,1. Permanent E-bin,"11 RHU CROSS, MAIN ENTRANCE",437440,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
114,PAYA LEBAR KOVAN CC,1. Permanent E-bin,"207 HOUGANG STREET 21, MAIN ENTRANCE LOBBY",530207,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
